level,page,title
1,1,A propos de ce document
1,3,Jacques-Marie Lacan
1,15,L'œuvre de Jacques Lacan
1,27,Les séminaires de Jacques Lacan
2,514,Séminaire - L'homme aux loups : 1952-1953 
2,38,Séminaire 1 - Écrits techniques : 1953-1954 
3,40,Avant Propos
3,42,Leçon du 18 novembre 1953
3,46,Leçon du 13 janvier 1954
3,62,Leçon du 20 janvier 1954
3,86,Leçon du 27 janvier 1954
3,110,Leçon du 3 février 1954
3,130,Leçon du 10 février 1954
3,152,Leçon du 17 février 1954
3,174,Leçon du 24 février 1954
3,198,Leçon du 10 mars 1054 
3,222,Leçon du 17 mars 1954
3,240,Leçon du 24 mars 1954
3,260,Leçon du 31 mars 1954
3,282,Leçon du 7 avril 1954
3,304,Leçon du 5 mai 1954
3,324,Leçon du 12 mai 1954
3,340,Leçon du 19 mai 1954
3,358,Leçon du 26 mai 1954
3,380,Leçon du 2 juin 1954
3,400,Leçon du 9 juin 1954
3,422,Leçon du 16 juin 1954 
3,442,Leçon du 23 juin 1954
3,466,Leçon du 30 juin 1954
3,486,Leçon du 7 juillet 1954
3,512,L'expérience du bouquet renversé
3,532,Indications bibliographiques
3,540,Participants à l'établissement du séminaire
3,536,Table des matières
2,542,Séminaire 2 - Le Moi dans la théorie de Freud : 1954-1955 
3,544,Note liminaire
3,546,Leçon du 17 novembre 1954
3,562,Leçon du 24 novembre 1954
3,564,Leçon du 1er décembre 1954
3,586,Leçon du 8 décembre 1954
3,606,Leçon du 15 décembre 1954
3,626,Leçon du 12 janvier 1955
3,648,Leçon du 19 janvier 1955
3,670,Leçon du 26 janvier 1955
3,694,Leçon du 2 février 1955
3,714,Leçon du 9 février 1955
3,736,Leçon du 16 février 1955
3,758,Leçon du 2 mars 1955
3,778,Leçon du 9 mars 1955
3,798,Leçon du 16 mars 1955
3,816,Leçon du 23 mars 1955
3,822,Leçon du 30 mars 1955
3,828,Leçon du 26 avril 1955
3,832,Leçon du 11 mai 1955
3,856,Leçon du 18 mai 1955
3,880,Leçon du 25 mai 1955
3,902,Leçon du 1er juin 1955
3,924,Leçon du 8 juin 1955
3,946,Leçon du 15 juin 1955
3,972,Leçon du 22 juin 1955
3,992,Leçon du 29 juin 1955
3,1020,Table des matières
3,1022,Participants à l'établissement du séminaire
2,1024,Séminaire 3 - Les structures freudiennes des psychoses : 1955-1956 
3,1026,Avis au lecteur
3,1028,Note Liminaire
3,1030,Leçon du 16 novembre 1955
3,1050,Leçon du 23 novembnre 1955
3,1070,Leçon du 30 novembre 1955
3,1094,Leçon du 7 décembre 1955
3,1114,Leçon du 14 décembre 1955
3,1132,Leçon du 21 décembre 1955
3,1136,Leçon du 11 janvier 1956
3,1162,Leçon du 18 janvier 1956
3,1186,Leçon du 25 janvier 1956
3,1210,Leçon du 1er février 1955
3,1232,Leçon du 8 février 1956
3,1256,Leçon du 15 février 1956
3,1280,Leçon du 14 mars 1956
3,1302,Leçon du 21 mars 1956
3,1320,Leçon du 11 avril 1955
3,1340,Leçon du 18 avril 1956
3,1360,Leçon du 25 avril 1956
3,1378,Leçon du 2 mai 1956
3,1392,Leçon du 9 mai 1956
3,1408,Leçon du 31 mai 1956
3,1424,Leçon du 6 juin 1956
3,1444,Leçon du 13 juin 1956
3,1466,Leçon du 20 juin 1956
3,1484,Leçon du 27 juin 1956
3,1506,Leçon du 4 juillet 1956
3,1532,La lettre de Elie Hirsh
3,1556,Table des matières
3,1558,Participants à l'établissement du séminaire
2,1560,Séminaire 4 - La relation d'objet et les structures freudiennes : 1956-1957
3,1564,Leçon du 21 novembre 1956
3,1580,Leçon du 28 novembre 1956
3,1596,Leçon du 5 décembre 1956
3,1614,Leçon du 12 décembre 1956
3,1632,Leçon du 19 décembre 1956
3,1650,Leçon du 9 janvier 1957
3,1668,Leçon du 16 janvier 1957
3,1688,Leçon du 23 janvier 1957
3,1706,Leçon du 30 janvier 1957
3,1720,Leçon du 6 février 1957
3,1734,Leçon du 27 février 1957
3,1752,Leçon du 6 mars 1957
3,1768,Leçon du 13 mars 1957
3,1786,Leçon du 20 mars 1957
3,1804,Leçon du 27 mars 1957
3,1824,Leçon du 3 avril 1957
3,1842,Leçon du 10 avril 1957
3,1860,Leçon du 8 mai 1957
3,1874,Leçon du 15 mai 1957
3,1890,Leçon du 22 mai 1957
3,1906,Leçon du 5 juin 1957
3,1926,Leçon du 19 juin 1957
3,1944,Leçon du 26 juin 1957
3,1966,Leçon du 3 juillet 1957
3,1992,Table des matières
2,1995,Séminaire 5 - Formations de l'inconscient : 1957-1958 
3,1997,Note liminaire
3,1999,Leçon du 6 novembre 1957
3,2019,Leçon du 13 novembre 1957
3,2043,Leçon du 20 novembre 1957
3,2065,Leçon du 27 novembre 1957
3,2087,Leçon du 4 décembre 1957
3,2107,Leçon du 11 décembre 1957
3,2129,Leçon du 18 décembre 1957
3,2151,Leçon du 8 janvier 1958
3,2171,Leçon du 15 janvier 1958
3,2193,Leçon du 22 janvier 1958
3,2213,Leçon du 29 janvier 1958
3,2233,Leçon du 5 février 1958
3,2255,Leçon du 12 février 1958
3,2275,Leçon du 12 mars 1958
3,2297,Leçon du 5 mars 1958
3,2319,Leçon du 19 mars 1958
3,2337,Leçon du 26 mars 1958
3,2355,Leçon du 16 avril 1958
3,2373,Leçon du 23 avril 1958
3,2393,Leçon du 30 avril 1958
3,2413,Leçon du 7 mai 1958
3,2431,Leçon du 14 mai 1958
3,2453,Leçon du 21 mai 1958
3,2473,Leçon du 4 juin 1958
3,2493,Leçon du 11 juin 1958
3,2517,Leçon du 18 juin 1958
3,2537,Leçon du 25 juin 1958
3,2561,Leçon du 2 juillet 1958
2,2588,Séminaire 6 - Le désir et son interprétation : 1958-1959 
3,2590,Avis au lecteur
3,2594,Leçon du 12 novembre 1958
3,2618,Leçon du 19 novembre 1958
3,2636,Leçon du 26 novembre 1958
3,2656,Leçon du 3 décembre 1958
3,2676,Leçon du 10 décembre 1958
3,2694,Leçon du 17 décembre 1958
3,2712,Leçon du 7 janvier 1959
3,2732,Leçon du 14 janvier 1959
3,2752,Leçon du 21 janvier 1959
3,2772,Leçon du 28 janvier 1959
3,2794,Leçon du 4 février 1959
3,2816,Leçon du 11 février 1959
3,2838,Leçon du 4 mars 1959
3,2854,Leçon du 11 mars 1959
3,2878,Leçon du 18 mars 1959
3,2902,Leçon du 8 avril 1959
3,2918,Leçon du 15 avril 1959
3,2938,Leçon du 22 avril 1959
3,2956,Leçon du 29 avril 1959
3,2976,Leçon du 13 mai 1959
3,2996,Leçon du 20 mai 1959
3,3016,Leçon du 27 mai 1959
3,3034,Leçon du 3 juin 1959
3,3052,Leçon du 10 juin 1959
3,3068,Leçon du 17 juin 1959
3,3090,Leçon du 24 juin 1959
3,3108,Leçon du 1er Juillet 1959
3,3128,L'analyse des rêves par Ella Freeman Sharp
2,3159,Séminaire 7 - L'éthique de la psychanalyse : 1959-1960 
3,3161,Avant-propos
3,3163,Leçon du 18 novembre 1959
3,3183,Leçon du 25 novembre 1959
3,3205,Leçon du 2 décembre 1959
3,3229,Leçon du 9 décembre 1959
3,3249,Leçon du 16 décembre 1959
3,3269,Leçon du 23 décembre 1959
3,3289,Leçon du 13 janvier 1960
3,3307,Leçon du 20 janvier 1960
3,3329,Leçon du 27 janvier 1960
3,3347,Leçon du 3 février 1960
3,3365,Leçon du 10 février 1960
3,3389,Leçon du 2 mars 1960
3,3409,Leçon du 9 mars 1960
3,3425,Leçon du 16 mars 1960
3,3443,Leçon du 23 mars 1960
3,3459,Leçon du 30 mars 1960
3,3477,Leçon du 27 avril 1960
3,3499,Leçon du 4 mai 1960
3,3519,Leçon du 11 mai 1960
3,3537,Leçon du 18 mai 1960
3,3551,Leçon du 25 mai 1960
3,3569,Leçon du 1er juin 1960
3,3587,Leçon du 8 juin 1960
3,3607,Leçon du 15 juin 1960
3,3629,Leçon du 22 juin 1960
3,3645,Leçon du 29 juin 1960
3,3657,Leçon du 6 juillet 1960
3,3679,Leçons publiques du Docteur Lacan
4,3681,Conférence du 9 mars 1960
4,3695,Conférence du 10 mars 1960
3,3705,Poème d'Arnaud Daniel
3,3707,Composition des séminaires de Lacan
3,3735,Table des matières
2,3739,Séminaire 8 - Le transfert : 1960-1961 
3,3741,Note liminaire
3,3743,Leçon du 8 octobre 1960
3,3757,Leçon du 23 novembre 1960
3,3775,Leçon du 30 novembre 1960
3,3789,Leçon du 7 décembre 1960
3,3803,Leçon du 14 décembre 1960
3,3817,Leçon du 21 décembre 1960
3,3835,Leçon du 11 janvier 1961
3,3851,Leçon du 18 janvier 1961
3,3867,Leçon du 25 janvier 1961
3,3879,Leçon du 1er février 1961
3,3893,Leçon du 8 février 1961
3,3909,Leçon du 1er mars 1961
3,3923,Leçon du 8 mars 1961
3,3939,Leçon du 15 mars 1961
3,3953,Leçon du 22 mars 1961
3,3963,Leçon du 12 avril 1961
3,3977,Leçon du 19 avril 1961
3,3991,Leçon du 26 avril 1961
3,4007,Leçon du 3 mai 1961
3,4021,Leçon du 10 mai 1961
3,4037,Leçon du 17 mai 1961
3,4051,Leçon du 24 mai 1961
3,4065,Leçon du 31 mai 1961
3,4079,Leçon du 7 juin 1961
3,4095,Leçon du 14 juin 1961
3,4107,Leçon du 21 juin 1961
3,4119,Leçon du 28 juin 1961
3,4133,Bibliographie
3,4137,Table des matières
3,4139,Participants à l'établissement du séminaire
2,4141,Séminaire 9 - L'identification : 1961-1962 
3,4143,Note liminaire
3,4145,Leçon du 15 novembre 1961
3,4159,Leçon du 22 novembre 1961
3,4171,Leçon du 29 novembre 1961
3,4183,Leçon du 6 décembre 1961
3,4197,Leçon du 13 décembre 1961
3,4207,Leçon du 20 décembre 1961
3,4223,Leçon du 10 janvier 1962
3,4241,Leçon du 17 janvier 1962
3,4257,Leçon du 24 janvier 1962
3,4269,Leçon du 21 février 1962
3,4281,Leçon du 28 février 1962
3,4295,Leçon du 7 mars 1962
3,4311,Leçon du 14 mars 1962
3,4327,Leçon du 21 mars 1962
3,4341,Leçon du 4 avril 1962
3,4357,Leçon du 28 mars 1962
3,4371,Leçon du 2 mai 1962
3,4397,Leçon du 9 mai 1962
3,4423,Leçon du 16 mai 1962
3,4437,Leçon du 28 mars 1962
3,4449,Leçon du 23 mai 1962
3,4463,Leçon du 23 mai 1962
3,4479,Leçon du 6 juin 1962
3,4503,Leçon du 13 juin 1962
3,4523,Leçon du 20 juin 1962
3,4537,Leçon du 27 juin 1962
3,4555,De ce que j'enseigne
3,4571,"Le quadrant, C.S. Peirce"
3,4575,Bibliographie sommaire
3,4583,Participants à l'établissement du séminaire
2,4585,Séminaire 10 - L'angoisse : 1962-1963 
3,4587,Note liminaire
3,4589,Leçon du 14 novembre 1962
3,4603,Leçon du 21 novembre 1962
3,4617,Leçon du 28 novembre 1962
3,4633,Leçon du 5 décembre 1962
3,4647,Leçon du 12 décembre 1962
3,4663,Leçon du 19 décembre 1962
3,4679,Leçon du 9 janvier 1963
3,4695,Leçon du 16 janvier 1963
3,4711,Leçon du 23 janvier 1963
3,4729,Leçon du 30 janvier 1963
3,4747,Leçon du 20 février 1963
3,4763,Leçon du 27 février 1963
3,4787,Leçon du 6 mars 1963
3,4801,Leçon du 13 mars 1963
3,4817,Leçon du 20 mars 1963
3,4833,Leçon du 27 mars 1963
3,4849,Leçon du 8 mai 1963
3,4869,Leçon du 15 mai 1963
3,4885,Leçon du 22 mai 1963
3,4901,Leçon du 29 mai 1963
3,4913,Leçon du 5 juin 1963
3,4927,Leçon du 12 juin 1963
3,4945,Leçon du 19 juin 1963
3,4963,Leçon du 26 juin 1963
3,4979,Leçon du 3 juillet 1963
3,5011,Bibliographie sommaire
2,4995,Séminaire - Les noms du père : 20 novembre 1963 
2,5015,Séminaire 11 - Les quatre concepts fondamentaux de la psychanalyse : 1964 
3,5017,Note liminaire
3,5019,Leçon du 15 janvier 1964
3,5033,Leçon du 22 janvier 1964
3,5047,Leçon du 29 janvier 1964
3,5059,Leçon du 5 février 1964
3,5073,Leçon du 12 février 1964
3,5087,Leçon du 19 février 1964
3,5099,Leçon du 26 février 1964
3,5113,Leçon du 4 mars 1964
3,5129,Leçon du 11 mars 1964
3,5147,Leçon du 15 avril 1964
3,5165,Leçon du 22 avril 1964
3,5183,Leçon du 29 avril 1964
3,5199,Leçon du 6 mai 1964
3,5213,Leçon du 13 mai 1964
3,5231,Leçon du 13 mai 1964
3,5247,Leçon du 27 mai 1964
3,5265,Leçon du 3 juin 1964
3,5283,Leçon du 10 juin 1964
3,5301,Leçon du 17 juin 1964
3,5321,Leçon du 24 juin 1964
3,5341,Participants à l'établissement du séminaire
2,5343,Séminaire 12 - Les problèmes cruciaux pour la psychanalyse : 1964-1965 
3,5345,Note liminaire
3,5347,Leçon du 2 décembre 1964
3,5359,Leçon du 9 décembre 1964
3,5377,Leçon du 16 décembre 1964
3,5395,Leçon du 6 janvier 1965
3,5415,Leçon du 13 janvier 1965
3,5433,Leçon du 20 janvier 1965
3,5449,Leçon du 27 janvier 1965
3,5473,Leçon du 3 février 1965
3,5493,Leçon du 24 février 1965
3,5515,Leçon du 3 mars 1965
3,5531,Leçon du 10 mars 1965
3,5549,Leçon du 17 mars 1965
3,5565,Leçon du 24 mars 1965
3,5595,Leçon du 31 mars 1965
3,5621,Leçon du 7 avril 1965
3,5637,Leçon du 28 avril 1965
3,5667,Leçon du 5 mai 1965
3,5679,Leçon du 12 mai 1965
3,5691,Leçon du 19 mai 1965
3,5703,Leçon du 26 mai 1965
3,5727,Leçon du 2 juin 1965
3,5743,Leçon du 9 juin 1965
3,5759,Leçon du 16 juin 1965
3,5777,Leçon du 23 juin 1965
3,5801,Résumé publié par Jacques Lacan
3,5805,Topologie
3,5819,Le sujet de la pulsion
3,5823,Le point du signifiant par Jean Claude Milner
3,5833,Bibliographie
3,5845,Participants à l'établissement du séminaire
2,5847,Séminaire 13 - L'objet de la psychanalyse : 1965-1966 
3,5849,Avertissement
3,5851,Leçon du 1er décembre 1965
3,5871,Leçon du 8 décembre 1965
3,5885,Leçon du 15 décembre 1965
3,5903,Leçon du 22 décembre 1965
3,5921,Leçon du 5 janvier 1966
3,5937,Leçon du 12 janvier 1966
3,5951,Leçon du 19 janvier 1966
3,5969,Leçon du 26 janvier 1966
3,5993,Leçon du 2 février 1966
3,6009,Leçon du 9 février 1966
3,6019,Leçon du 23 février 1966
3,6041,Leçon du 23 mars 1966
3,6055,Leçon du 30 mars 1966
3,6075,Leçon du 20 avril 1966
3,6091,Leçon du 27 avril 1966
3,6113,Leçon du 4 mai 1966
3,6127,Leçon du 11 mai 1966
3,6147,Leçon du 18 mai 1966
3,6169,Leçon du 25 mai 1966
3,6183,Leçon du 1er juin 1966
3,6199,Leçon du 8 juin 1966
3,6213,Leçon du 15 juin 1966
3,6233,Leçon du 22 juin 1966
3,5842,Table des matières
3,5845,Participants à l'établissement du séminaire
2,6269,Séminaire 14 - La logique du fantasme : 1966-1967 
3,6271,Note liminaire
3,6275,Leçon du 16 novembre 1966
3,6293,Leçon du 23 novembre 1966
3,6311,Leçon du 30 novembre 1966
3,6331,Leçon du 7 décembre 1966
3,6351,Leçon du 14 décembre 1966
3,6373,Leçon du 21 décembre 1966
3,6385,Leçon du 11 janvier 1967
3,6405,Leçon du 18 janvier 1967
3,6423,Leçon du 25 janvier 1967
3,6441,Leçon du 1er février 1967
3,6459,Leçon du 15 février 1967
3,6479,Leçon du 22 février 1967
3,6495,Leçon du 1er mars 1967
3,6513,Leçon du 8 mars 1967
3,6533,Leçon du 15 mars 1967
3,6559,Leçon du 12 avril 1967
3,6579,Leçon du 19 avril 1967
3,6597,Leçon du 26 avril 1967
3,6617,Leçon du 10 mai 1967
3,6641,Leçon du 24 mai 967
3,6657,Leçon du 31 mai 1967
3,6675,Leçon du 7 juin 1967
3,6693,Leçon du 14 juin 1967
3,6713,Leçon du 21 juin 1967
2,6739,Séminaire 15 - L'acte psychanalytique : 1967-1968 
3,6741,Note liminaire
3,6743,Leçon du 15 novembre 1967
3,6759,Leçon du 22 novembre 1967
3,6777,Leçon du 29 novembre 1967
3,6795,Leçon du 6 décembre 1967
3,6809,Leçon du 10 janvier 1968
3,6825,Leçon du 17 janvier 1968
3,6841,Leçon du 24 janvier 1968
3,6857,Leçon du 31 janvier 1968
3,6879,Leçon du 7 février 1968
3,6895,Leçon du 21 février 1968
3,6915,Leçon du 28 février 1968
3,6943,Leçon du 6 mars 1968
3,6959,Leçon du 13 mars 1968
3,6975,Leçon du 20 mars 1968
3,6993,Leçon du 27 mars 1968
3,7017,Notes du 8 et 15 mai 1968
3,7019,Rencontre du 15 mai 1968
3,7027,Conférence du 19 juin 1968
3,7043,La logique de Frege et la logique de lacan
3,7045,Résumé du séminaire par Lacan
3,7055,Indications bibliographiques
2,7062,Séminaire 16 - D'un Autre à l'autre : 1968-1969 
3,7064,Avis au lecteur
3,7066,Leçon du 13 novembre 1968
3,7082,Leçon du 20 novembre 1968
3,7096,Leçon du 27 novembre 1968
3,7114,Leçon du 04 décembre 1968
3,7130,Leçon du 11 décembre 1968
3,7144,Leçon du 08 janvier 1969
3,7158,Leçon du 15 janvier 1969
3,7172,Leçon du 22 janvier 1969
3,7188,Leçon du 29 janvier 1969
3,7202,Leçon du 05 février 1969
3,7216,Leçon du 12 février 1969
3,7234,Leçon du 26 février 1969
3,7250,Leçon du 05 mars 1969
3,7264,Leçon du 12 mars 1969
3,7280,Leçon du 19 mars 1969
3,7300,Leçon du 26 mars 1969
3,7316,Leçon du 23 avril 1969
3,7330,Leçon du 18 juin 1969
3,7346,Leçon du 30 avril 1969
3,7360,Leçon du 07 mai 1969
3,7376,Leçon du 14 mai 1969
3,7388,Leçon du 21 mai 1969
3,7402,Leçon du 04 juin 1969
3,7420,Leçon du 11 juin 1969
3,7434,Leçon du 25 juin 1969
2,7451,Séminaire 17 - L'envers de la psychanalyse : 1969-1970 
3,7455,Leçon du 26 novembre 1969
3,7471,Impromptu du 3 décembre 1969
3,7485,Leçon du 10 décembre 1969
3,7489,Leçon du 17 décembre 1969
3,7501,Leçon du 14 janvier 1970
3,7517,Leçon du 21 janvier 1970
3,7533,Leçon du 11 février 1970
3,7549,Leçon du 18 février 1970
3,7567,Leçon du 11 mars 1970
3,7587,Leçon du 18 mars 1970
3,7603,Leçon du 8 avril 1970
3,7623,Leçon du 14 avril 1970
3,7647,Leçon du 13 mai 1970
3,7657,Leçon du 20 mai 1970
3,7675,Impromptu du 3 juin 1970
3,7685,Leçon du 11 juin 1970
3,7705,Leçon du 18 juin 1970
3,7721,Table des matières
3,7723,Participants à l'établissement du séminaire
2,7725,Séminaire 18 - D'un discours qui ne serait pas du semblant : 1971 
3,7727,Note liminaire
3,7729,Leçon du 13 janvier 1971
3,7741,Leçon du 20 janvier 1971
3,7755,Leçon du 10 février 1971
3,7769,Leçon du 17 février 1971
3,7791,Leçon du 10 mars 1971
3,7807,Leçon du 17 mars 1971
3,7821,Leçon du 12 mai 1971
3,7835,Leçon du 19 mai 1971
3,7851,Leçon du 9 juin 1971
3,7720,Leçon du 16 juin 1971
3,7720,Lituraterre
3,7891,Leçon 9 par Jacques Lacan
2,7936,Séminaire 19 - Le Savoir du psychanalyste : 1971-1972
3,7938,Note liminaire
3,7940,Leçon du 4 novembre 1971
3,7956,Leçon du 2 décembre 1971
3,7972,Leçon du 6 janvier 1972
3,7986,Leçon du 3 février 1972
3,8002,Leçon du 3 mars 1972
3,8020,Leçon du 4 mai 1972
3,8038,Leçon du 1 juin 1972
2,8057,Séminaire 19 bis - Ou pire : 1971-1972 
3,8061,Leçon du 8 décembre 1971
3,8075,Leçon du 15 décembre 1971
3,8089,Leçon du 12 janvier 1972
3,8101,Leçon du 19 janvier 1972
3,8115,Leçon du 9 février 1972
3,8129,Leçon du 08 mars 1972
3,8141,Leçon du 15 mars 1972
3,8153,Leçon du 19 avril 1972
3,8165,Leçon du 10 mai 1972
3,8179,Leçon du 17 mai 1972
3,8193,Leçon du 14 juin 1972
3,8219,Leçon du 21 juin 1972
3,8059,Note liminaire
3,8235,Participants à l'établissement du séminaire
2,8236,Séminaire 20 - Encore : 1972-1973 
3,8238,Note liminaire
3,8240,Leçon du 21 novembre 1972
3,8250,Leçon du 12 décembre 1972
3,8286,Leçon du 19 décembre 1972
3,8300,Leçon du 9 janvier 1973
3,8316,Leçon du 16 janvier 1973
3,8332,Leçon du 13 février 1973
3,8348,Leçon du 20 février 1973
3,8364,Leçon du 13 mars 1973
3,8378,Leçon du 20 mars 1973
3,8392,Leçon du 10 avril 1973
3,8420,Leçon du 8 mai 1973
3,8434,Leçon du 15 mai 1973
3,8452,Leçon du 26 juin 1973
3,8467,Participants à l'établissement du séminaire
2,8470,Séminaire 21 - Les non-dupes errent : 1973-1974 
3,8472,Note liminaire
3,8474,Leçon du 13 novembre 1973
3,8488,Leçon du 20 novembre 1973
3,8506,Leçon du 11 novembre 1973
3,8524,Leçon du 18 décembre 1973
3,8542,Leçon du 08 janvier 1974
3,8554,Leçon du 15 janvier 1974
3,8568,Leçon du 12 février 1974
3,8586,Leçon du 19 février 1974
3,8598,Leçon du 12 mars 1974
3,8616,Leçon du 19 mars 1974
3,8626,Leçon du 09 avril 1974
3,8646,Leçon du 23 avril 1974
3,8660,Leçon du 14 mai 1974
3,8676,Leçon du 21 mai 1974
3,8690,Leçon du 11 juin 1974
3,8710,Indications bibliographiques
3,8721,Participants à l'établissement du séminaire
2,8724,Séminaire 22 - R.S.I. : 1974-1975 
3,8726,Note liminaire
3,8728,Introduction : 19 novembre 1974
3,8732,Leçon du 10 décembre 1974
3,8748,Leçon du 17 décembre 1974
3,8762,Leçon du 14 janvier 1975
3,8776,Leçon du 21 janvier 1975
3,8790,Leçon du 11 février 1975
3,8808,Leçon du 18 février 1975
3,8822,Leçon du 11 mars 1975
3,8840,Leçon du 18 mars 1975
3,8854,Leçon du 8 avril 1975
3,8872,Leçon du 15 avril 1975
3,8888,Leçon du 13 mai 1975
3,8904,Annexes
4,8906,Introduction à cette publication
4,8908,À la lecture du 17 décembre
4,8912,Le nœud borroméen orienté
4,8916,"Un ratage dans l'établissement d'une figure de nœud, ou un méfait de perspective"
4,8920,Une propriété non démontrée
4,8924,Les binaires et la liaison des binaires
3,8930,Table de matières
3,8932,Participants à l'établissement du séminaire
2,8934,Séminaire 23 - Le sinthome : 1975-1976 
3,8936,Au lecteur
3,8938,Leçon du 18 novembre 1975
3,8954,Leçon du 9 décembre 1975
3,8972,Leçon du 16 décembre 1975
3,8984,Leçon du 13 janvier 1976
3,8998,Leçon du 20 janvier 1976
3,9024,Leçon du 10 février 1976
3,9038,Leçon du 17 février 1976
3,9050,Leçon du 09 mars 1976
3,9064,Leçon du 16 mars 1976
3,9076,Leçon du 13 avril 1976
3,9090,Leçon du 11 mai 1976
3,9106,Table de matières
2,9109,Séminaire 24 - L'insu que sait de l'une-bévue s'aile à mourre : 1976-1977 
3,9111,Note liminaire
3,9113,Leçon du 16 novembre 1976
3,9123,Leçon du 14 décembre 1976
3,9135,Leçon du 21 décembre 1976
3,9151,Leçon du 11 janvier 1977
3,9159,Leçon du 18 janvier 1977
3,9169,Leçon du 08 février 1977
3,9191,Leçon du 15 février 1977
3,9199,Leçon du 08 mars 1977
3,9209,Leçon du 15 mars 1977
3,9217,Leçon du 19 avril 1977
3,9225,Leçon du 10 mai 1977
3,9231,Leçon du 17 mai 1977
2,9241,Séminaire 25 - Le moment de conclure : 1977-1978 
3,9243,Note liminaire
3,9245,Leçon du 15 novembre 1977
3,9253,Leçon du 13 décembre 1977
3,9261,Leçon du 20 décembre 1977
3,9269,Leçon du 10 janvier 1978
3,9275,Leçon du 17 janvier 1978
3,9291,Leçon du 14 février 1978
3,9297,Leçon du 21 février 1978
3,9303,Leçon du 14 mars 1978
4,9321,Annexe pour la leçon 8
3,9327,Leçon du 21 mars 1978
3,9337,Leçon du 11 avril 1978
3,9343,Leçon du 18 avril 1978
3,9355,Leçon du 8 mai 1978
